Lasell University,Division III,Division III,Non-DI,Active Member,Great Northeast Athletic Conference,Great Northeast Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Newton, MA",laserpride.lasell.edu,www.lasell.edu,652_652.apple-touch-icon-180x180.png
Endicott College,Division III,Division III,Non-DI,Active Member,Commonwealth Coast Conference,Commonwealth Coast Conference,Non-HBCU,Private,Master's Colleges & Universities,"Beverly, MA",www.ecgulls.com,www.endicott.edu,658_658.thumbnail_default.jpg
University of Massachusetts Lowell,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Lowell, MA",www.goriverhawks.com,www.uml.edu/,659_659.site.png
Williams College,Division III,Division III,Non-DI,Active Member,New England Small College Athletic Conference,New England Small College Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Williamstown, MA",athletics.williams.edu/landing/index,www.williams.edu/,662_662.favicon-194x194.png
State University of New York at Delhi,Division III,Division III,Non-DI,Provisional Member,North Atlantic Conference,North Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Delhi, NY",delhibroncos.com/landing/index,www.delhi.edu,663_663.favicon-194x194.png
Hartwick College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Baccalaureate Colleges,"Oneonta, NY",www.hartwick.edu,www.hartwickhawks.com,664_664.site.png
State University of New York at Oneonta,Division III,Division III,Non-DI,Active Member,State University of New York Athletic Conference,State University of New York Athletic Conference,Non-HBCU,Public,Master's Colleges & Universities,"Oneonta, NY",www.oneonta.edu,www.oneontaathletics.com,665_665.favicon.ico
The College of Saint Rose,Division II,Division II,Non-DI,Active Member,Northeast-10 Conference,Northeast-10 Conference,Non-HBCU,Private,Master's Colleges & Universities,"Albany, NY",gogoldenknights.com,www.strose.edu,666_666.site.png
University at Albany,Division I,Division I,DI FCS,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Albany, NY",www.albany.edu,www.ualbanysports.com,667_667.favicon.ico
Siena College,Division I,Division I,DI Subdivision,Active Member,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Loudonville, NY",www.siena.edu,www.sienasaints.com,668_668.site.png
Union College (New York),Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Baccalaureate Colleges,"Schenectady, NY",www.union.edu/,www.unionathletics.com/,670_670.favicon.ico
Rensselaer Polytechnic Institute,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Research Universities,"Troy, NY",www.rpi.edu,www.rpiathletics.com,671_671.site.png
State University of New York at Cobleskill,Division III,Division III,Non-DI,Active Member,North Eastern Athletic Conference,North Eastern Athletic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Cobleskill, NY",www.cobleskill.edu/ATHLETICS,www.cobleskill.edu/home.asp,672_672.site.png
Binghamton University,Division I,Division I,DI Subdivision,Active Member,America East Conference,America East Conference,Non-HBCU,Public,Research Universities,"Binghamton, NY",www.binghamton.edu,www.bubearcats.com,673_673.site.png
Elmira College,Division III,Division III,Non-DI,Active Member,Empire 8,Empire 8,Non-HBCU,Private,Baccalaureate Colleges,"Elmira, NY",athletics.elmira.edu,www.elmira.edu,674_674.site.png
Ithaca College,Division III,Division III,Non-DI,Active Member,Liberty League,Liberty League,Non-HBCU,Private,Master's Colleges & Universities,"Ithaca, NY",athletics.ithaca.edu,www.ithaca.edu/,675_675.site.png
