School Name,Primary Division,Sport Division,Subdivision,Membership Status,Primary Conference,Sport Conference,HBCU/Non-HBCU,Public/Private,Carnegie Classification,City/State ,Primary URL,Secondary URL,Primary Icon,Updated Latitude,Updated Longitude
Middle Tennessee State University,Division I,Division I,DI FBS,Active Member,Conference USA,Conference USA,Non-HBCU,Public,Research Universities,"Murfreesboro, TN",www.goblueraiders.com,www.mtsu.edu/,360_360.site.png,35.845999,-86.3920452
University of the South,Division III,Division III,Non-DI,Active Member,Southern Athletic Association,Southern Athletic Association,Non-HBCU,Private,Baccalaureate Colleges,"Sewanee, TN",sewaneetigers.com/,www.sewanee.edu/,361_361.thumbnail_default.jpg,35.2031373,-85.9210899
"University of South Carolina, Columbia",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Columbia, SC",gamecocksonline.cstv.com/,www.sc.edu/,,34.0007493,-81.0343313
Young Harris College,Division II,Division II,Non-DI,Active Member,Peach Belt Conference,Peach Belt Conference,Non-HBCU,Private,Baccalaureate Colleges,"Young Harris, GA",www.yhc.edu,www.yhcathletics.com,363_363.favicon.ico,34.9331453,-83.8471223
Lee University,Division II,Division II,Non-DI,Active Member,Gulf South Conference,Gulf South Conference,Non-HBCU,Private,Master's Colleges & Universities,"Cleveland, TN",www.goleeflames.com,www.leeuniversity.edu/,,35.1595182,-84.8766115
University of Tennessee at Chattanooga,Division I,Division I,DI FCS,Active Member,Southern Conference,Southern Conference,Non-HBCU,Public,Research Universities,"Chattanooga, TN",www.gomocs.com,www.utc.edu,365_365.favicon.ico,35.0457219,-85.3094883
Tennessee Technological University,Division I,Division I,DI FCS,Active Member,Ohio Valley Conference,Ohio Valley Conference,Non-HBCU,Public,Research Universities,"Cookeville, TN",www.TTUsports.com/,www.tntech.edu/,366_366.thumbnail_default.jpg,36.1623886,-85.4997057
Maryville College (Tennessee),Division III,Division III,Non-DI,Active Member,USA South Athletic Conference,USA South Athletic Conference,Non-HBCU,Private,Baccalaureate Colleges,"Maryville, TN",www.maryvillecollege.edu,www.mcscots.com/landing/index,367_367.thumbnail_default.jpg,35.7564719,-83.9704593
"University of Tennessee, Knoxville",Division I,Division I,DI FBS,Active Member,Southeastern Conference,Southeastern Conference,Non-HBCU,Public,Research Universities,"Knoxville, TN",www.utk.edu/,www.utsports.com,368_368.site.png,35.9603948,-83.9210261
Carson-Newman University,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Research Universities,"Jefferson City, TN",cneagles.com,www.cn.edu,369_369.apple-touch-icon-180x180.png,36.122311,-83.4923961
Tusculum University,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Private,Master's Colleges & Universities,"Greeneville, TN",www.tusculum.edu,www.tusculumpioneers.com,370_370.apple-touch-icon.png,36.1631575,-82.8309861
The University of Virginia's College at Wise,Division II,Division II,Non-DI,Active Member,South Atlantic Conference,South Atlantic Conference,Non-HBCU,Public,Baccalaureate Colleges,"Wise, VA",www.uvawise.edu,www.uvawisecavs.com,371_371.site.png,37.0170633,-82.6103804
Norfolk State University,Division I,Division I,DI FCS,Active Member,Mid-Eastern Athletic Conf.,Mid-Eastern Athletic Conf.,HBCU,Public,Master's Colleges & Universities,"Norfolk, VA",www.nsu.edu,www.nsuspartans.com,372_372.favicon.ico,36.8462923,-76.2929252
